Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 07/20  14:00:00,515219932.537654,515219932.537654,17491807.1857003,96660690.5880898,167093070.352576 
 07/20  15:00:00,516769608.538516,516769608.538516,16596739.3082701,96660690.5880898,167093070.352576 
 07/20  16:00:00,525976172.911517,525976172.911517,19134245.6353105,96660690.5880898,177537174.74818 
 07/20  17:00:00,388233343.265377,388233343.265377,13094554.2768481,53700383.6600498,140923939.573165 
 07/20  18:00:00,237728757.622365,237728757.622365,8766595.02134948,32354929.0777446,69106004.4057846 
 07/20  19:00:00,209236962.411573,209236962.411573,8694434.80531217,34632269.2366384,59822356.0541363 
 07/20  20:00:00,224753594.622646,224753594.622646,8717460.21290997,27233866.7315612,59822356.0541363 
 07/20  21:00:00,227799704.548995,227799704.548995,4597200.,27302827.8427063,55180531.8783121 
 07/20  22:00:00,99285849.1003389,99285849.1003388,4597200.,13651413.9213531,55180531.8783121 
 07/20  23:00:00,92454692.4766817,92454692.4766817,4597200.,6825706.96067657,55180531.8783121 
 07/20  24:00:00,72339865.2674801,72339865.26748,4597200.,7915463.67251137,44533202.0018108 
 07/21  01:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 07/21  02:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 07/21  03:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 07/21  04:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 07/21  05:00:00,70099503.3879376,70099503.3879376,4597200.,15092418.3617863,44533202.0018108 
 07/21  06:00:00,164986520.679022,164986520.679022,4597200.,11057639.0164872,55180531.8783121 
 07/21  07:00:00,262134677.321171,262134677.321171,4597200.,32257857.6080432,95796493.4167736 
 07/21  08:00:00,522861316.633285,522861316.633285,4597200.,96660690.5880898,204227663.759169 
 07/21  09:00:00,513069869.693843,513069869.693843,8981460.27320945,96660690.5880898,174055806.616312 
 07/21  10:00:00,481301802.328924,481301802.328924,17874534.2462693,96660690.5880898,167093070.352576 
 07/21  11:00:00,484728203.563881,484728203.563881,18248540.6975621,96660690.5880898,174055806.616312 
 07/21  12:00:00,488327914.689095,488327914.689095,23394165.1519877,96660690.5880898,177667514.306075 
 07/21  13:00:00,509139581.18409,509139581.18409,23329725.2616105,96660690.5880898,179858086.836092 
 07/21  14:00:00,496430358.691485,496430358.691485,17838172.8776315,96660690.5880898,167093070.352576 
 07/21  15:00:00,473288652.336653,473288652.336653,13276977.2672552,96660690.5880898,167093070.352576 
 07/21  16:00:00,468771018.472087,468771018.472087,18266780.1108457,96660690.5880898,177537174.74818 
 07/21  17:00:00,362680821.134662,362680821.134662,13015227.3598367,54239655.8898216,140923939.573165 
 07/21  18:00:00,235284485.401738,235284485.401738,12965484.3672642,32872760.7017086,69106004.4057846 
 07/21  19:00:00,223154536.273426,223154536.273426,4597200.,34475684.5194072,59822356.0541363 
 07/21  20:00:00,229171524.75887,229171524.75887,8704282.7824678,27099845.5756206,59822356.0541363 
 07/21  21:00:00,230501946.150965,230501946.150965,4597200.,27302827.8427063,55180531.8783121 
 07/21  22:00:00,99285849.1003389,99285849.1003388,4597200.,13651413.9213531,55180531.8783121 
 07/21  23:00:00,92454692.4766817,92454692.4766817,4597200.,6825706.96067657,55180531.8783121 
 07/21  24:00:00,72339865.2674801,72339865.26748,4597200.,7915463.67251137,44533202.0018108 
 07/22  01:00:00,61036294.1179892,61036294.1179892,4597200.,7915463.67251137,33399901.5013581 
 07/22  02:00:00,61036294.1179892,61036294.1179892,4597200.,7915463.67251137,33399901.5013581 
 07/22  03:00:00,61036294.1179892,61036294.1179892,4597200.,7915463.67251137,33399901.5013581 
 07/22  04:00:00,61036294.1179892,61036294.1179892,4597200.,7915463.67251137,33399901.5013581 
 07/22  05:00:00,51296934.2231708,51296934.2231708,4597200.,7596452.17674218,33399901.5013581 
 07/22  06:00:00,178797918.695243,178797918.695243,4597200.,11037825.9761528,55180531.8783121 
 07/22  07:00:00,235014893.548658,235014893.548658,4597200.,10740076.73201,73747828.5816088 
 07/22  08:00:00,269620433.439382,269620433.439382,4597200.,32220230.1960299,85222049.4632748 
 07/22  09:00:00,279693022.085778,279693022.085778,4597200.,32220230.1960299,93345241.7709671 
 07/22  10:00:00,283632669.539397,283632669.539397,4597200.,32220230.1960299,89863873.6390989 
 07/22  11:00:00,279388172.902875,279388172.902875,4597200.,32220230.1960299,97987065.9467912 
 07/22  12:00:00,236235863.142117,236235863.142117,8751619.94191168,16110115.098015,72652542.3166 
 07/22  13:00:00,225164512.618554,225164512.618554,8741050.84151139,16110115.098015,63368893.9649517 
 07/22  14:00:00,224638728.826414,224638728.826414,8692743.15534072,16110115.098015,57566613.7451715 
 07/22  15:00:00,237137298.669113,237137298.669113,4597200.,16110115.098015,52924789.5693473 
 07/22  16:00:00,227841572.923168,227841572.923168,8683417.22450342,16110115.098015,54085245.6133033 
 07/22  17:00:00,180604469.974153,180604469.974153,4597200.,5370038.36600498,48348135.1724704 
 07/22  18:00:00,116468843.211542,116468843.211542,4597200.,5398759.82635005,41385398.9087341 
 07/22  19:00:00,61452961.7680921,61452961.7680921,4597200.,6717890.34448486,33399901.5013581 
 07/22  20:00:00,64044165.7401844,64044165.7401844,4597200.,7895470.90204711,33399901.5013581 
 07/22  21:00:00,71353768.1179892,71353768.1179892,4597200.,7915463.67251137,33399901.5013581 
 07/22  22:00:00,71353768.1179892,71353768.1179892,4597200.,7915463.67251137,33399901.5013581 
 07/22  23:00:00,71353768.1179892,71353768.1179892,4597200.,7915463.67251137,33399901.5013581 
 07/22  24:00:00,61036294.1179892,61036294.1179892,4597200.,7915463.67251137,33399901.5013581 
 07/23  01:00:00,61036294.1179892,61036294.1179892,4597200.,7915463.67251137,33399901.5013581 
 07/23  02:00:00,61036294.1179892,61036294.1179892,4597200.,7915463.67251137,33399901.5013581 
 07/23  03:00:00,61036294.1179892,61036294.1179892,4597200.,7915463.67251137,33399901.5013581 
 07/23  04:00:00,61036294.1179892,61036294.1179892,4597200.,7915463.67251137,33399901.5013581 
 07/23  05:00:00,51363616.8298874,51363616.8298874,4597200.,7663132.13907575,33399901.5013581 
 07/23  06:00:00,47940449.2534456,47940449.2534456,4597200.,5534212.09341119,41385398.9087341 
 07/23  07:00:00,114993824.433424,114993824.433424,4597200.,5376309.60134053,41385398.9087341 
 07/23  08:00:00,147432386.155969,147432386.155969,4597200.,5370038.36600498,41385398.9087341 
 07/23  09:00:00,140869599.365078,140869599.365078,4597200.,5370038.36600498,41385398.9087341 
 07/23  10:00:00,129983316.196405,129983316.196405,4597200.,5370038.36600498,41385398.9087341 
 07/23  11:00:00,154127767.391807,154127767.391807,4597200.,5370038.36600498,41385398.9087341 
 07/23  12:00:00,144596307.671432,144596307.671432,4597200.,5370038.36600498,41385398.9087341 
 07/23  13:00:00,134805502.979646,134805502.979646,4597200.,5370038.36600498,41385398.9087341 
 07/23  14:00:00,163392549.530406,163392549.530406,4597200.,5370038.36600498,41385398.9087341 
 07/23  15:00:00,148961987.423393,148961987.423393,4597200.,5370038.36600498,41385398.9087341 
 07/23  16:00:00,136434284.729697,136434284.729697,4597200.,5370038.36600498,41385398.9087341 
 07/23  17:00:00,162852166.364242,162852166.364242,4597200.,5370038.36600498,41385398.9087341 
 07/23  18:00:00,136719748.634333,136719748.634333,4597200.,6253424.66885373,33399901.5013581 
